blind_id,condition,location,score
FMT032,rewrite_with_stripped_mlp,nearby,-0.009906075894832611
FMT033,rewrite_with_stripped_mlp,nearby,-1.897033452987671
FMT037,rewrite_with_stripped_mlp,nearby,-0.4807188808917999
FMT038,rewrite_with_stripped_mlp,nearby,-1.4363974332809448
FMT039,rewrite_with_stripped_mlp,nearby,-0.38900813460350037
FMT041,rewrite_with_stripped_mlp,nearby,-0.05290968343615532
FMT042,rewrite_with_stripped_mlp,nearby,-1.2008907794952393
FMT043,rewrite_with_stripped_mlp,nearby,-0.4119377136230469
FMT045,rewrite_with_stripped_mlp,nearby,-1.4478405714035034
FMT048,rewrite_with_stripped_mlp,nearby,-0.2475031614303589
FMT050,rewrite_with_stripped_mlp,nearby,-1.224829077720642
FMT051,rewrite_with_stripped_mlp,nearby,-1.0646675825119019
FMT052,rewrite_with_stripped_mlp,nearby,-0.7210553288459778
FMT055,rewrite_with_stripped_mlp,nearby,-1.8675123453140259
FMT056,rewrite_with_stripped_mlp,nearby,-0.9795212149620056
FMT062,rewrite_with_stripped_mlp,nearby,-0.4545914828777313
FMT063,rewrite_with_stripped_mlp,nearby,-1.108638882637024
FMT065,rewrite_with_stripped_mlp,nearby,-0.630955159664154
FMT069,rewrite_with_stripped_mlp,nearby,-0.23628486692905426
FMT071,rewrite_with_stripped_mlp,nearby,-0.7655922174453735
FMT074,rewrite_with_stripped_mlp,nearby,-1.5451648235321045
FMT079,rewrite_with_stripped_mlp,nearby,-0.9201240539550781
FMT080,rewrite_with_stripped_mlp,nearby,-0.49887681007385254
FMT081,rewrite_with_stripped_mlp,nearby,-0.13892421126365662
FMT083,rewrite_with_stripped_mlp,nearby,-0.4206114411354065
FMT085,rewrite_with_stripped_mlp,nearby,-0.13486002385616302
FMT091,rewrite_with_stripped_mlp,nearby,-0.2154802531003952
FMT097,rewrite_with_stripped_mlp,nearby,-0.3466114401817322
FMT099,rewrite_with_stripped_mlp,nearby,-1.6110364198684692
FMT104,rewrite_with_stripped_mlp,nearby,-0.1851268708705902
FMT106,rewrite_with_stripped_mlp,nearby,-0.22959785163402557
FMT110,rewrite_with_stripped_mlp,nearby,-0.7112666368484497
FMT111,rewrite_with_stripped_mlp,nearby,-0.6643781661987305
FMT114,rewrite_with_stripped_mlp,nearby,-0.3080323040485382
